event_id,ticker,event_type,market_kind,window_days,n_base,baseline_fallback,abnormal_move,abn_logodds,abn_scaled,time_to_50h,avg_spread,n_trades,vol_window,vol_base_daily,d_oi,pre_mid,surprise,moneyness_steps,tier,tier_label,liquid,cell
myles_garrett_to_rams,KXSB-27-WAS,unscheduled_sports,sports_future,1,25,False,-3.469446951953614e-18,0.0,-1.3877787807814454e-16,,0.009999999999999998,,308.38,1017.0388,0.0,0.025,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-WAS,unscheduled_sports,sports_future,3,25,False,-3.469446951953614e-18,0.0,-1.3877787807814454e-16,,0.009999999999999998,,3179.2,1017.0388,2824.8199999998324,0.025,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-WAS,unscheduled_sports,sports_future,5,25,False,-3.469446951953614e-18,0.0,-1.3877787807814454e-16,,0.009999999999999998,,4453.16,1017.0388,4083.179999999935,0.025,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-TEN,unscheduled_sports,sports_future,1,12,False,1.734723475976807e-18,0.0,1.7347234759768073e-16,,0.01,,3176.96,258.0168,0.0,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-TEN,unscheduled_sports,sports_future,3,12,False,1.734723475976807e-18,0.0,1.7347234759768073e-16,,0.01,,8839.01,258.0168,5662.0500000000175,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-TEN,unscheduled_sports,sports_future,5,12,False,1.734723475976807e-18,0.0,1.7347234759768073e-16,,0.01,,10759.380000000001,258.0168,7582.420000000013,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-TB,unscheduled_sports,sports_future,1,25,False,0.0,0.0,0.0,,0.01,,3601.76,767.9676000000001,0.0,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-TB,unscheduled_sports,sports_future,3,25,False,0.0,0.0,0.0,,0.01,,11369.86,767.9676000000001,7737.099999999977,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-TB,unscheduled_sports,sports_future,5,25,False,0.0,0.0,0.0,,0.01,,12148.67,767.9676000000001,8515.910000000033,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-SF,unscheduled_sports,sports_future,1,25,False,0.0,0.0,0.0,,0.009999999999999995,,9463.9,6246.8968,0.0,0.055,,,S2,Longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-SF,unscheduled_sports,sports_future,3,25,False,0.0,0.0,0.0,,0.009999999999999995,,20941.35,6246.8968,10527.209999999963,0.055,,,S2,Longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-SF,unscheduled_sports,sports_future,5,25,False,0.0,0.0,0.0,,0.009999999999999995,,29295.429999999997,6246.8968,16348.729999999981,0.055,,,S2,Longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-SEA,unscheduled_sports,sports_future,1,25,False,0.0015999999999999903,0.02075005392511775,0.019184652278177342,10.683333333333334,0.009999999999999995,,24202.55,9991.8584,0.0,0.08499999999999999,,,S2,Longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-SEA,unscheduled_sports,sports_future,3,25,False,0.0015999999999999903,0.02075005392511775,0.019184652278177342,10.683333333333334,0.009999999999999995,,50181.68000000001,9991.8584,21791.280000000028,0.08499999999999999,,,S2,Longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-SEA,unscheduled_sports,sports_future,5,25,False,0.0015999999999999903,0.02075005392511775,0.019184652278177342,10.683333333333334,0.009999999999999995,,139338.89,9991.8584,109631.04000000004,0.08499999999999999,,,S2,Longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-PIT,unscheduled_sports,sports_future,1,25,False,0.0,0.0,0.0,,0.01,,9097.44,4012.7339999999995,0.0,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-PIT,unscheduled_sports,sports_future,3,25,False,0.0,0.0,0.0,,0.01,,25044.97,4012.7339999999995,15433.630000000005,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-PIT,unscheduled_sports,sports_future,5,25,False,0.0,0.0,0.0,,0.01,,44568.39,4012.7339999999995,34957.04999999999,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-PHI,unscheduled_sports,sports_future,1,25,False,-0.008,-0.17204167107645407,-0.1509433962264151,10.683333333333334,0.010000000000000002,,18935.17,2781.427600000001,0.0,0.045,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-PHI,unscheduled_sports,sports_future,3,25,False,-0.008,-0.17204167107645407,-0.1509433962264151,10.683333333333334,0.010000000000000002,,33402.1,2781.427600000001,14375.929999999993,0.045,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-PHI,unscheduled_sports,sports_future,5,25,False,-0.008,-0.17204167107645407,-0.1509433962264151,10.683333333333334,0.010000000000000002,,45557.06,2781.427600000001,26049.369999999995,0.045,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NYJ,unscheduled_sports,sports_future,1,16,False,0.0,0.0,0.0,,0.01,,4046.05,553.2875,0.0,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NYJ,unscheduled_sports,sports_future,3,16,False,0.0,0.0,0.0,,0.01,,4981.24,553.2875,935.1900000000023,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NYJ,unscheduled_sports,sports_future,5,16,False,0.0,0.0,0.0,,0.01,,5851.63,553.2875,1805.5799999999872,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NYG,unscheduled_sports,sports_future,1,25,False,0.0,0.0,0.0,,0.01,,95775.1,10649.431999999999,0.0,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NYG,unscheduled_sports,sports_future,3,25,False,0.0,0.0,0.0,,0.01,,141028.58000000002,10649.431999999999,41705.87000000011,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NYG,unscheduled_sports,sports_future,5,25,False,0.0,0.0,0.0,,0.01,,151045.34000000003,10649.431999999999,49267.38000000012,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NO,unscheduled_sports,sports_future,1,25,False,0.0,0.0,0.0,,0.01,,5330.57,13224.5704,0.0,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NO,unscheduled_sports,sports_future,3,25,False,0.0,0.0,0.0,,0.01,,30159.48,13224.5704,24828.91000000015,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NO,unscheduled_sports,sports_future,5,25,False,0.0,0.0,0.0,,0.01,,33852.18,13224.5704,28521.610000000102,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NE,unscheduled_sports,sports_future,1,25,False,0.009999999999999995,0.2617311891391618,0.28571428571428553,10.683333333333334,0.010000000000000002,,517341.94,6928.1016,0.0,0.035,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NE,unscheduled_sports,sports_future,3,25,False,0.009999999999999995,0.2617311891391618,0.28571428571428553,10.683333333333334,0.010000000000000002,,588191.6,6928.1016,70291.54000000015,0.035,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-NE,unscheduled_sports,sports_future,5,25,False,0.009999999999999995,0.2617311891391618,0.28571428571428553,10.683333333333334,0.010000000000000002,,599710.14,6928.1016,81144.7300000001,0.035,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-MIN,unscheduled_sports,sports_future,1,25,False,-0.008400000000000005,-0.45325031080597444,-0.3589743589743591,10.683333333333334,0.01,,18568.53,6464.2576,0.0,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-MIN,unscheduled_sports,sports_future,3,25,False,-0.008400000000000005,-0.45325031080597444,-0.3589743589743591,10.683333333333334,0.01,,33686.95,6464.2576,13910.420000000158,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-MIN,unscheduled_sports,sports_future,5,25,False,-0.008400000000000005,-0.45325031080597444,-0.3589743589743591,10.683333333333334,0.01,,63844.56,6464.2576,43600.13000000012,0.015,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-MIA,unscheduled_sports,sports_future,1,18,False,-1.734723475976807e-18,0.0,-1.7347234759768068e-16,,0.01,,5281.75,910.7923999999999,0.0,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-MIA,unscheduled_sports,sports_future,3,18,False,-1.734723475976807e-18,0.0,-1.7347234759768068e-16,,0.01,,6029.89,910.7923999999999,748.140000000014,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-MIA,unscheduled_sports,sports_future,5,18,False,-1.734723475976807e-18,0.0,-1.7347234759768068e-16,,0.01,,6969.4800000000005,910.7923999999999,1687.7299999999814,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-LV,unscheduled_sports,sports_future,1,25,False,-0.0012000000000000014,-0.11454154173221198,-0.10714285714285725,10.683333333333334,0.01,,9859.19,11145.898000000001,0.0,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-LV,unscheduled_sports,sports_future,3,25,False,-0.0012000000000000014,-0.11454154173221198,-0.10714285714285725,10.683333333333334,0.01,,28049.14,11145.898000000001,18189.949999999953,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-LV,unscheduled_sports,sports_future,5,25,False,-0.0012000000000000014,-0.11454154173221198,-0.10714285714285725,10.683333333333334,0.01,,61735.899999999994,11145.898000000001,51876.70999999996,0.01,,,S1,Deep longshot,True,unsched_sports
myles_garrett_to_rams,KXSB-27-LAR,unscheduled_sports,sports_future,1,25,False,0.0572,0.49192641326899267,0.5306122448979591,10.683333333333334,0.010000000000000009,,1087041.78,7618.901599999999,0.0,0.10500000000000001,,,S2,Longshot,True,unsched_sports
